ParameterName	LABEL	FMW	VALENCY
"1,1,1,2-tetrachloroethane"			
"1,1,1-trichloroethane"			
"1,1,2,2-tetrachloroethane"			
"1,1,2-trichloroethane"			
"1,1-dichloroethane"			
"1,1-dichloroethene"			
"1,2,3,4-tetrachlorobenzene"			
"1,2,3,5-tetrachlorobenzene"			
"1,2,3-trichlorobenzene"			
"1,2,3-trimethylbenzene"			
"1,2,4,5-tetrachlorobenzene"			
"1,2,4-trichlorobenzene"			
"1,2,4-trimethylbenzene"			
"1,2-dibromoethane"			
"1,2-dichlorobenzene"			
"1,2-dichloroethane"			
"1,2-dichloropropane"			
"1,2-diethylbenzene"			
"1,3,5-trichlorobenzene"			
"1,3,5-trimethylbenzene"			
"1,3-dichlorobenzene"			
"1,3-diethylbenzene"			
"1,4-dichlorobenzene"			
"1,4-diethylbenzene"			
"2,3,4,5-tetrachlorophenol"			
"2,3,4,6-tetrachlorophenol"			
"2,3,4-trichlorophenol"			
"2,3,6-trichlorotoluene"			
"2,4,5-T"			
"2,4,5-trichlorophenol"			
"2,4,5-trichlorotoluene"			
"2,4,6-trichlorophenol"			
"2,4-D"			
"2,4-D-propionic acid"			
"2,4-DB"			
"2,4-dichlorophenol"			
"2,6-dichlorobenzyl chloride"			
2-ethyltoluene			
3-ethyltoluene			
4-ethyltoluene			
"7,12-dimethylbenz(a)anthracene"			
Alachlor			
Aldicarb			
Aldrin			
Alkalinity			
Alkalinity; total fixed endpt			
Aluminum	Al		
Ametryne			
Aminomethylphosphonic acid			
Anions			
Anthracene			
Antimony			
Arsenic	As		
Atratone			
Atrazine			
Atrazine+de-alkylatedatrazine			
Azinphos-methyl			
Barban			
Barium	BA		
Bendiocarb			
Benzene			
Benzo(a)anthracene			
Benzo(a)pyrene			
Benzo(b)fluoranthene			
Benzo(e)pyrene			
"Benzo(g,h,i)perylene"			
Benzo(k)fluoranthene			
Beryllium			
Bicarbonate			
Bismuth (Bi)			
Boron	B		
Bromate			
Bromide	Br		
Bromodichloromethane			
Bromoform			
Bromomethane			
Bromoxynil			
Butachlor			
Butylate			
Cadmium	Cd		
Calcium	Ca		
Carbaryl			
Carbofuran			
Carbon tetrachloride			
Carbon; dissolved inorganic			
Carbon; dissolved organic			
Carbonate			
Cations			
Cerium (Ce)			
Cesium (Cs)			
Chemical Oxygen Demand (COD)			
Chlorate			
Chloride			
Chlorite			
Chlormequat			
Chlorobenzene			
Chlorobromuron			
Chloroethane			
Chloroethene			
Chloroform			
Chloromethane			
Chlorotoluron			
Chlorpropham			
Chlorpyrifos			
Chromium			
Chrysene			
Cobalt			
Conductivity			
Conductivity Estimated			
Copper			
Cyanazine			
Cyperquat			
"DMDT/2,2',3,3',4,4',6-heptachPCB(171)"			
De-ethylated atrazine			
De-ethylated simazine			
Diallate			
Diazinon			
"Dibenzo(a,h)anthracene"			
Dibromochloromethane			
Dicamba			
Dichloroacetonitrile			
Dichlorodifluoromethane			
Dichloromethane			
Dichlorvos			
Diclofop-methyl			
Dieldrin			
Difenoxuron			
Difenzoquat			
Diisopropylether			
Dimethoate			
Dinoseb			
Diquat			
Dissolved Inorganic Carbon			
Dissolved Phosphorus (P)			
Dissolved Silicon (Si)			
Diuron			
Endosulphan I			
Endosulphan II			
Endosulphan sulphate			
Endrin			
Eptam			
Escherichia coli			
Ethion			
Ethylbenzene			
Europium (Eu)			
F1 (C6 - C10)			
F2 (C10 - C16)			
F3 (C16 - C34)			
F4 (C34 - C50)			
F4G (gravimetric)			
F4G (silica gel)			
Fluometuron			
Fluoranthene			
Fluoride			
"G-CHLA/2,3,4,4'-tetrachloroPCB(60)"			
Gallium (Ga)			
Glufosinate			
Glyphosate			
"H-Epoxide/2,4,4',5-tetrachloroPCB(74)"			
Hardness			
Heptachlor			
Heptachlor epoxide			
Hexachlorobenzene			
Hexachlorobutadiene			
Hexachlorocyclopentadiene			
Hexachloroethane			
Hydroxide (OH-)			
"Indeno(1,2,3-c,d)pyrene"			
Iodide			
Iodide (I-)			
Ion Ratio (AS/CS)			
Ion balance calculation			
Iron			
Isopropyl benzene			
Isopropyl toluene			
Langeliers index calculation			
Lanthanum (La)			
Lead			
Linuron			
Lithium (Li)			
"MCPA,4Cl2MePhenoxy-AceticAcid"			
"MCPB,4Cl2MePhenoxy-ButyricAcid"			
"MCPP,2-4Cl2MePhenoxy-PropAcid"			
Magnesium			
Malathion			
Manganese			
Mepiquat			
Mercury (Hg)			
Methoxychlor			
Methylparathion			
Metobromuron			
Metolachlor			
Metoxuron			
Metribuzin			
Mevinphos			
Mirex			
Molybdenum			
Monolinuron			
Monuron			
NT: Vol petroleum distillates			
Neburon			
Nickel			
Niobium (Nb)			
Nitrate			
Nitrate (NO3)			
Nitrogen; ammonia+ammonium			
Nitrogen; nitrate			
Nitrogen; nitrate+nitrite			
Nitrogen; nitrite			
Nitrogen; total			
Nitrogen; total Kjeldahl			
Octachlorostyrene			
Organic Nitrogen (N)			
Oxychlordane			
PCB; total			
PHC Profile			
Paraquat			
Parathion			
Pentachlorobenzene			
Pentachlorophenol			
Perchlorate			
Permethrin			
Perylene			
Phenanthrene			
Phenolics; 4-AAP			
Phorate			
Phosphorus; phosphate			
Phosphorus; total			
Photomirex			
Picloram			
Piperonyl Butoxide			
Potassium			
Prometone			
Prometryne			
Propazine			
Propham			
Propoxur			
Propylbenzene			
Pyrene			
Pyrethrin 1			
Pyrethrin 2			
Reldan			
Ronnel			
Rubidium (Rb)			
Saturation pH Estimated			
Scandium  (Sc)			
Selenium			
Siduron			
Silicon (Si)			
Silicon; reactive silicate			
Silver			
Silvex			
Simazine			
Sodium			
Solids; Dissolved Estimated			
Solids; dissolved			
Specific Conductance			
Strontium			
Styrene			
Sulphate			
Sulphide			
Tellurium (Te)			
Temephos			
Temperature Upon Receipt			
Terbufos			
Terbutryne			
Tert-butyl methyl ether			
Tetrachloroethene			
Thallium			
Thorium (Th)			
Tin (Sn)			
Titanium			
Toluene			
Total Inorganic Carbon (C)			
Total Organic Carbon (TOC)			
Total Reactive P (P)			
Total Suspended Solids			
Toxaphene			
Triallate			
Trichloroethene			
Trichlorofluoromethane			
Trifluralin			
Trihalomethanes; total			
Tungsten			
Tungsten (W)			
Uranium			
Vanadium			
Xylenes; total			
Yttrium (Y)			
Zinc			
Zirconium			
Zirconium (Zr)			
a-BHC (hexachlorocyclohexane)			
a-Chlordane			
b-BHC (hexachlorocyclohexane)			
"cis-1,2-dichloroethene"			
"cis-1,3-dichloropropene"			
"cis-nonachlor/2,3,4,4',5-pentachPCB(114)"			
colour			
g-BHC (hexachlorocyclohexane)			
g-Chlordane			
m- and p-xylene			
m-xylene			
m/p-xylene			
o-xylene			
op-DDT			
p-xylene			
pH			
pp-DDD			
pp-DDE			
pp-DDT			
temperature Upon			
"trans-1,2-dichloroethene"			
"trans-1,3-dichloropropene"			
trans-nonachlor			
turbidity			
